1642,adult
1691,adventure
2056,aliens
2313,american-literature
2690,anthology
3027,art-history
3611,autobiography
4594,biographies
4605,biography
5870,buddhism
5951,business
6750,chick-lit
6960,childrens-books
7009,china
7077,christian
7224,christmas
7457,classics
7725,comedy
7739,comic
8055,contemporary
8130,cookbook
8517,crime
8755,cyberpunk
8922,dark
9318,design
9886,drama
10064,dystopian
10245,economics
10304,education
10708,environment
10731,epic-fantasy
10825,erotica
10866,espionage
11152,fairy-tales
11221,family
11305,fantasy
11425,fashion
11743,fiction
11937,finance
13446,gothic
13547,graphic-novel
13873,halloween
14134,health
14467,historical
14487,historical-fiction
14527,historical-romance
14821,horror
15048,humor
16651,journalism
18869,mafia
19052,manga
19742,memoirs
20673,music
20939,mystery
21024,mythology
21195,nature
21672,noir
21689,non-fiction
22973,paranormal
23005,parenting
23334,personal-development
23471,philosophy
23535,photography
23569,physics
23605,picture-books
23743,plays
23831,poetry
23909,political
25562,reference
25685,religious
26138,romance
26771,sci-fi
26816,science
27095,self-help
27438,shakespeare
27669,short-stories
28247,space-opera
28422,sports
28466,spy
29005,superheroes
29452,teen
30208,theatre
30241,theology
30358,thriller
31254,true-crime
32130,war
33114,young-adult
