book_id,user_id,rating
1180,1,4
4893,1,3
6285,1,4
8034,2,4
8855,2,5
9762,2,4
9014,3,1
9049,3,1
3273,4,2
3469,4,5
8464,4,5
4829,5,3
6646,5,4
6703,5,4
7487,5,5
8072,5,5
7341,6,4
8033,6,5
585,7,4
910,7,4
956,7,5
1071,7,4
1199,7,4
1464,7,5
1484,7,5
1519,7,5
1536,7,4
1620,7,5
1646,7,3
1801,7,5
1873,7,4
1918,7,3
1923,7,4
1969,7,5
1991,7,4
2045,7,3
2084,7,5
2102,7,4
2129,7,5
2189,7,3
2241,7,2
2325,7,4
2470,7,3
2487,7,5
2491,7,1
2564,7,3
2693,7,4
2766,7,4
2782,7,4
2931,7,4
2969,7,4
3111,7,4
3137,7,3
3246,7,4
3247,7,4
3314,7,5
3672,7,4
3711,7,5
3797,7,2
3884,7,3
4101,7,3
4138,7,3
4190,7,5
4459,7,4
4574,7,4
4588,7,3
4608,7,3
4608,7,2
4726,7,4
4885,7,4
4944,7,2
4964,7,4
5047,7,4
5332,7,4
5341,7,5
5388,7,3
6152,7,4
6444,7,4
6445,7,4
6701,7,3
7003,7,4
7128,7,4
7217,7,4
7325,7,3
7377,7,4
7490,7,3
7807,7,1
7814,7,4
7904,7,2
8320,7,5
8413,7,3
8432,7,4
8654,7,5
9103,7,3
8312,8,5
9114,8,5
9991,8,1
4394,9,3
4788,9,4
5908,9,3
6777,9,3
7285,9,3
7868,9,2
8676,9,4
1506,10,4
2833,10,4
3409,10,5
3946,10,5
4531,10,4
5084,10,2
5907,10,4
5926,10,2
6131,10,2
7002,10,5
7486,10,4
7651,10,4
8653,10,4
9240,10,3
9600,10,4
9854,10,4
6835,11,4
7269,11,5
7277,11,4
7794,11,4
8175,11,4
8950,11,4
9483,11,3
9606,11,3
9717,11,4
7287,12,4
9059,12,4
6723,13,4
9984,13,4
4826,14,4
5495,14,4
7604,14,3
8323,14,4
9032,14,4
6820,15,4
8842,15,3
6160,16,4
6772,16,3
8882,16,3
8946,16,5
8946,16,3
9460,16,5
9858,16,4
7063,17,5
7063,17,5
4054,18,5
8329,18,4
8382,18,3
8585,18,4
8692,18,3
9287,18,2
4202,19,3
4638,19,2
4711,19,3
5150,19,3
5241,19,3
5616,19,3
5911,19,3
6160,19,4
6234,19,4
6250,19,3
6315,19,3
6809,19,3
6844,19,3
7169,19,2
7649,19,3
7756,19,5
7769,19,3
7783,19,4
8249,19,3
8305,19,3
8352,19,3
8498,19,4
8717,19,4
8912,19,3
8689,20,5
9168,20,4
9827,20,4
8336,21,3
8946,21,4
9473,21,3
9858,21,4
3544,22,4
3920,22,5
4731,22,4
5575,22,3
6013,22,4
6555,22,4
7105,22,4
7568,22,3
7614,22,3
7630,22,5
7638,22,3
8035,22,3
8112,22,4
8214,22,4
8302,22,3
8490,22,2
9211,22,4
9526,22,3
9575,22,3
1104,23,2
1542,23,2
2906,23,3
3401,23,3
3943,23,2
4384,23,3
4451,23,3
4601,23,2
5039,23,2
5077,23,3
5135,23,4
5161,23,3
5278,23,2
5350,23,3
5801,23,3
5868,23,3
6014,23,4
6146,23,3
6304,23,3
6715,23,4
6827,23,4
6862,23,4
6905,23,4
7431,23,3
7482,23,2
7545,23,2
7729,23,3
7871,23,3
7914,23,4
8166,23,2
8227,23,2
8255,23,3
8379,23,3
8514,23,3
8698,23,4
8974,23,4
9306,23,2
9516,23,3
9669,23,3
9792,23,3
9882,23,4
9909,23,4
2320,24,3
3142,24,4
3310,24,4
3488,24,4
4149,24,3
4605,24,4
4983,24,4
5327,24,4
6018,24,4
6173,24,4
6438,24,4
6535,24,3
6909,24,4
7262,24,4
7409,24,4
7770,24,4
7868,24,3
5730,25,5
6160,25,3
6160,25,4
8336,25,4
8589,25,5
8946,25,5
8946,25,5
8946,25,3
